Date,Location,18-24,25-44,45-64,65+,U18,Female,Male,Transgender,DNAA,DSH,DSH ,SA Only,SA/DSH,SI Only,SI/DSH,SI/SA,SI/SA/DSH,Crime,Recorded Crimes,Month,Unemploy.Gender,Unemploy.u25,Unemploy.25+,Unemploy.allages
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual offence involving mentally impaired person,12,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aggravated sexual assault,9,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Sexual assault (not aggravated),1281,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other sexual offences,127,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Attempts/threats to murder assaults harassments and related offences,14365,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-attempt,13,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Murder-threat,334,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Harassment and related offences,1504,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Assault causing harm poisoning,3071,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other assault,9443,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous or negligent acts,7495,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Dangerous driving causing serious bodily harm,12,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Driving/in charge of a vehicle while over legal alcohol limit,6752,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Driving/in charge of a vehicle under the influence of drugs,265,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Endangerment with potential for serious harm/death,69,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Abandoning a child child neglect and cruelty,226,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Unseaworthy/dangerous use of boat or ship,2,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False alarm/interference with aircraft or air transport facilities,4,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Endangering traffic offences,165,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Kidnapping and related offences,121,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, False imprisonment,80,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Abduction of person under  years of age,25,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Human trafficking offences,16,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery extortion and hijacking offences,2796,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery of an establishment or institution,988,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery of cash or goods in transit,39,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Robbery from the person,1678,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Blackmail or extortion,25,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Carjacking hijacking/unlawful seizure of aircraft/vessel,66,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Burglary and related offences,26297,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Aggravated burglary,299,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Burglary (not aggravated),25316,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Possession of an article (with intent to burgle steal demand),682,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft and related offences,78428,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft/taking of vehicle and related offences,7358,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft from person,6467,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Theft from shop,20553,0,0,0,0,0
2013,Cork,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other thefts handling stolen property,44050,0,0,0,0,0
