"Gender","Unemployment Age","Unemployment Year","Month","Unemployment Rate"
"Male","15 - 24 years","2001","01",15.6
"Male","15 - 74 years","2001","01",41.8
"Male","25 - 74 years","2001","01",26.2
"Female","15 - 24 years","2001","01",11.2
"Female","15 - 74 years","2001","01",32.5
"Female","25 - 74 years","2001","01",21.4
"Both","15 - 24 years","2001","02",27
"Both","15 - 74 years","2001","02",74.1
"Both","25 - 74 years","2001","02",47.1
"Male","15 - 24 years","2001","02",15.9
"Male","15 - 74 years","2001","02",41.4
"Male","25 - 74 years","2001","02",25.5
"Female","15 - 24 years","2001","02",11.1
"Female","15 - 74 years","2001","02",32.7
"Female","25 - 74 years","2001","02",21.6
"Both","15 - 24 years","2001","03",27.3
"Both","15 - 74 years","2001","03",73.7
"Both","25 - 74 years","2001","03",46.3
"Male","15 - 24 years","2001","03",16.2
"Male","15 - 74 years","2001","03",41.6
"Male","25 - 74 years","2001","03",25.4
"Female","15 - 24 years","2001","03",11.1
"Female","15 - 74 years","2001","03",32
"Female","25 - 74 years","2001","03",20.9
"Both","15 - 24 years","2001","04",28.1
"Both","15 - 74 years","2001","04",73.8
"Both","25 - 74 years","2001","04",45.7
"Male","15 - 24 years","2001","04",16.3
"Male","15 - 74 years","2001","04",41.6
"Male","25 - 74 years","2001","04",25.3
"Female","15 - 24 years","2001","04",11.8
"Female","15 - 74 years","2001","04",32.2
"Female","25 - 74 years","2001","04",20.4
"Both","15 - 24 years","2001","05",28.8
"Both","15 - 74 years","2001","05",74.9
"Both","25 - 74 years","2001","05",46.1
"Male","15 - 24 years","2001","05",16.7
"Male","15 - 74 years","2001","05",42.4
"Male","25 - 74 years","2001","05",25.7
"Female","15 - 24 years","2001","05",12.1
"Female","15 - 74 years","2001","05",32.5
"Female","25 - 74 years","2001","05",20.4
"Both","15 - 24 years","2001","06",30
"Both","15 - 74 years","2001","06",77.6
"Both","25 - 74 years","2001","06",47.6
"Male","15 - 24 years","2001","06",17.4
"Male","15 - 74 years","2001","06",43.7
"Male","25 - 74 years","2001","06",26.3
"Female","15 - 24 years","2001","06",12.7
"Female","15 - 74 years","2001","06",34
"Female","25 - 74 years","2001","06",21.3
"Both","15 - 24 years","2001","07",31.7
"Both","15 - 74 years","2001","07",81.9
"Both","25 - 74 years","2001","07",50.3
"Male","15 - 24 years","2001","07",18.6
"Male","15 - 74 years","2001","07",45.9
"Male","25 - 74 years","2001","07",27.2
"Female","15 - 24 years","2001","07",13
"Female","15 - 74 years","2001","07",36.1
"Female","25 - 74 years","2001","07",23
"Both","15 - 24 years","2001","08",32.5
"Both","15 - 74 years","2001","08",84.6
"Both","25 - 74 years","2001","08",52.1
"Male","15 - 24 years","2001","08",19.5
"Male","15 - 74 years","2001","08",48
"Male","25 - 74 years","2001","08",28.5
"Female","15 - 24 years","2001","08",13
"Female","15 - 74 years","2001","08",36.6
"Female","25 - 74 years","2001","08",23.6
"Both","15 - 24 years","2001","09",32.8
"Both","15 - 74 years","2001","09",85
"Both","25 - 74 years","2001","09",52.2
"Male","15 - 24 years","2001","09",19.8
"Male","15 - 74 years","2001","09",49
"Male","25 - 74 years","2001","09",29.2
"Female","15 - 24 years","2001","09",13
"Female","15 - 74 years","2001","09",36.1
"Female","25 - 74 years","2001","09",23
"Both","15 - 24 years","2001","10",33
"Both","15 - 74 years","2001","10",84.4
"Both","25 - 74 years","2001","10",51.3
"Male","15 - 24 years","2001","10",20.2
"Male","15 - 74 years","2001","10",49.9
"Male","25 - 74 years","2001","10",29.7
"Female","15 - 24 years","2001","10",12.9
"Female","15 - 74 years","2001","10",34.4
"Female","25 - 74 years","2001","10",21.6
"Both","15 - 24 years","2001","11",33.8
"Both","15 - 74 years","2001","11",85.3
"Both","25 - 74 years","2001","11",51.4
"Male","15 - 24 years","2001","11",20.8
"Male","15 - 74 years","2001","11",51.1
"Male","25 - 74 years","2001","11",30.3
"Female","15 - 24 years","2001","11",13
"Female","15 - 74 years","2001","11",34.2
"Female","25 - 74 years","2001","11",21.1
"Both","15 - 24 years","2001","12",33.1
"Both","15 - 74 years","2001","12",83.8
"Both","25 - 74 years","2001","12",50.7
"Male","15 - 24 years","2001","12",20.3
"Male","15 - 74 years","2001","12",50.6
