"Date","Location","18-24","25-44","45-64","65+","U18","Female","Male","Transgender","DNAA","DSH","DSH ","SA Only","SA/DSH","SI Only","SI/DSH","SI/SA","SI/SA/DSH","Crime","Recorded Crimes"
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences against government justice procedures and organisation of crime",9168
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences against government and its agents",278
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Organisation of crime and conspiracy to commit crime",4
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Perverting the course of justice",62
2013,"Collins.Ave",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Offences while in custody breach of court orders",8824
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Homicide offences",95
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder",51
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Manslaughter",7
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Infanticide",0
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous driving leading to death",37
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual offences",1908
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Rape of a male or female",392
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Defilement of a boy or girl less than  years old",87
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual offence involving mentally impaired person",12
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Aggravated sexual assault",9
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Sexual assault (not aggravated)",1281
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other sexual offences",127
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Attempts/threats to murder assaults harassments and related offences",14365
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder-attempt",13
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Murder-threat",334
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Harassment and related offences",1504
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Assault causing harm poisoning",3071
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Other assault",9443
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous or negligent acts",7495
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Dangerous driving causing serious bodily harm",12
2013,"Cork",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," Driving/in charge of a vehicle while over legal alcohol limit",6752
