"Cause","Date","Location","Suicides"
"SI/SA",2016,"South.East",26
"SI/SA/DSH",2016,"South.East",14
"DNAA",2017,"South.East",19
"DSH",2017,"South.East",19
"SA Only",2017,"South.East",4
"SA/DSH",2017,"South.East",2
"SI Only",2017,"South.East",119
"SI/DSH",2017,"South.East",47
"SI/SA",2017,"South.East",74
"SI/SA/DSH",2017,"South.East",73
"DNAA",2013,"Collins.Ave",0
"DSH ",2013,"Collins.Ave",0
"SA Only",2013,"Collins.Ave",0
"SA/DSH",2013,"Collins.Ave",0
"SI Only",2013,"Collins.Ave",0
"SI/DSH",2013,"Collins.Ave",0
"SI/SA",2013,"Collins.Ave",0
"SI/SA/DSH",2013,"Collins.Ave",0
"DNAA",2014,"Collins.Ave",0
"DSH ",2014,"Collins.Ave",0
"SA Only",2014,"Collins.Ave",0
"SA/DSH",2014,"Collins.Ave",0
"SI Only",2014,"Collins.Ave",0
"SI/DSH",2014,"Collins.Ave",0
"SI/SA",2014,"Collins.Ave",0
"SI/SA/DSH",2014,"Collins.Ave",0
"DNAA",2015,"Collins.Ave",0
"DSH",2015,"Collins.Ave",0
"SA Only",2015,"Collins.Ave",0
"SA/DSH",2015,"Collins.Ave",0
"SI Only",2015,"Collins.Ave",0
"SI/DSH",2015,"Collins.Ave",0
"SI/SA",2015,"Collins.Ave",0
"SI/SA/DSH",2015,"Collins.Ave",0
"DNAA",2016,"Collins.Ave",3
"DSH",2016,"Collins.Ave",0
"SA Only",2016,"Collins.Ave",0
"SA/DSH",2016,"Collins.Ave",0
"SI Only",2016,"Collins.Ave",0
"SI/DSH",2016,"Collins.Ave",0
"SI/SA",2016,"Collins.Ave",0
"SI/SA/DSH",2016,"Collins.Ave",0
"DNAA",2017,"Collins.Ave",3
"DSH",2017,"Collins.Ave",0
"SA Only",2017,"Collins.Ave",0
"SA/DSH",2017,"Collins.Ave",1
"SI Only",2017,"Collins.Ave",19
"SI/DSH",2017,"Collins.Ave",6
"SI/SA",2017,"Collins.Ave",11
"SI/SA/DSH",2017,"Collins.Ave",5
"DNAA",2013,"Lucan",407
"DSH ",2013,"Lucan",120
"SA Only",2013,"Lucan",25
"SA/DSH",2013,"Lucan",4
"SI Only",2013,"Lucan",495
"SI/DSH",2013,"Lucan",223
"SI/SA",2013,"Lucan",307
"SI/SA/DSH",2013,"Lucan",150
"DNAA",2014,"Lucan",457
"DSH ",2014,"Lucan",105
"SA Only",2014,"Lucan",9
"SA/DSH",2014,"Lucan",9
"SI Only",2014,"Lucan",470
"SI/DSH",2014,"Lucan",237
"SI/SA",2014,"Lucan",280
"SI/SA/DSH",2014,"Lucan",162
